function_name,label
filterCatalogSalesWhereYearAfter2000,filtration
filterCatalogSalesWhereYearAfter2000,join
filterStoreSalesWhereYearAfter2000,filtration
filterStoreSalesWhereYearAfter2000,join
filterCatalogSalesWhereProfitNegative,filtration
filterStoreSalesWhereProfitNegative,filtration
filterCatalogSalesWhereProfitNegativeAndYearAfter2000,filtration
filterCatalogSalesWhereProfitNegativeAndYearAfter2000,join
filterStoreSalesWhereProfitNegativeAndYearAfter2000,filtration
filterStoreSalesWhereProfitNegativeAndYearAfter2000,join
minWholeSaleCostGroupedBySoldDate,aggregation
maxWholeSaleCostGroupedBySoldDate,aggregation
sumWholeSaleCostGroupedBySoldDate,aggregation
avgWholeSaleCostGroupedBySoldDate,aggregation
countWholeSaleCostGroupedBySoldDate,aggregation
summaryWholeSaleCostGroupedBySoldDate,aggregation
minNetProfitGroupedBySoldDate,aggregation
maxNetProfitGroupedBySoldDate,aggregation
sumNetProfitGroupedBySoldDate,aggregation
avgNetProfitGroupedBySoldDate,aggregation
countNetProfitGroupedBySoldDate,aggregation
summaryNetProfitGroupedBySoldDate,aggregation
countDistinctTicketNumber,aggregation
minNetProfitGroupedBySoldDateWhereProfitNegative,aggregation
minNetProfitGroupedBySoldDateWhereProfitNegative,filtration
maxNetProfitGroupedBySoldDateWhereProfitNegative,aggregation
maxNetProfitGroupedBySoldDateWhereProfitNegative,filtration
sumNetProfitGroupedBySoldDateWhereProfitNegative,aggregation
sumNetProfitGroupedBySoldDateWhereProfitNegative,filtration
avgNetProfitGroupedBySoldDateWhereProfitNegative,aggregation
avgNetProfitGroupedBySoldDateWhereProfitNegative,filtration
countNetProfitGroupedBySoldDateWhererofitNegative,aggregation
countNetProfitGroupedBySoldDateWhererofitNegative,filtration
minNetProfitGroupedBySoldDateWhereYearAfter2000,aggregation
minNetProfitGroupedBySoldDateWhereYearAfter2000,filtration
minNetProfitGroupedBySoldDateWhereYearAfter2000,join
maxNetProfitGroupedBySoldDateWhereYearAfter2000,aggregation
maxNetProfitGroupedBySoldDateWhereYearAfter2000,filtration
maxNetProfitGroupedBySoldDateWhereYearAfter2000,join
sumNetProfitGroupedBySoldDateWhereYearAfter2000,aggregation
sumNetProfitGroupedBySoldDateWhereYearAfter2000,filtration
sumNetProfitGroupedBySoldDateWhereYearAfter2000,join
avgNetProfitGroupedBySoldDateWhereYearAfter2000,aggregation
avgNetProfitGroupedBySoldDateWhereYearAfter2000,filtration
avgNetProfitGroupedBySoldDateWhereYearAfter2000,join
countNetProfitGroupedBySoldDateWhereYearAfter2000,aggregation
countNetProfitGroupedBySoldDateWhereYearAfter2000,filtration
countNetProfitGroupedBySoldDateWhereYearAfter2000,join